Unnamed: 0,name,full_name,age,height,nationality,place_of_birth,price,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,price_eur,max_price_eur
419,Kevin-Prince Boateng,,36,1.86,Ghana  Germany,Berlin,0.7,23.0,midfield - Attacking Midfield,27,Right,Hertha Bsc,2023-06-30,2021-07-01,Excellence Sport,Puma,0.7,23.0
420,Chidera Ejuke,,25,1.76,Nigeria,Zaria,7.5,9.0,Attack - Left Winger,40,Right,Hertha Bsc,2023-06-30,2022-07-13,Aneke/Pmg,Nike,7.5,9.0
421,Dodi Lukébakio,Dodi Lukébakio Ngandoli,25,1.87,Belgium  Dr Congo,Brussels,12.0,21.0,Attack - Right Winger,14,Left,Hertha Bsc,2024-06-30,2019-08-01,Boostmysport,Nike,12.0,21.0
422,Marco Richter,,25,1.76,Germany,Friedberg,6.0,10.0,Attack - Right Winger,23,Right,Hertha Bsc,2025-06-30,2021-08-09,Sports360 Gmbh,Nike,6.0,10.0
423,Kelian Nsona,Kelian Nsona Wa Saka,21,1.89,France  Dr Congo,Ivry-Sur-Seine,1.2,1.2,Attack - Right Winger,28,Right,Hertha Bsc,2026-06-30,2022-01-31,Rogon,Unknown,1.2,1.2
424,Jessic Ngankam,Jessic Gaïtan Ngankam,22,1.84,Germany  Cameroon,Berlin,3.5,3.5,Attack - Centre-Forward,24,Right,Hertha Bsc,2025-06-30,2022-07-02,Sports360 Gmbh,Unknown,3.5,3.5
425,Wilfried Kanga,Wilfried Kanga Aka,25,1.89,Cote D'Ivoire  France,Montreuil-Sous-Bois,3.0,4.0,Attack - Centre-Forward,18,Right,Hertha Bsc,2026-06-30,2022-07-30,Lasana Koita,Unknown,3.0,4.0
426,Florian Niederlechner,,32,1.87,Germany,Ebersberg,2.2,10.0,Attack - Centre-Forward,7,Right,Hertha Bsc,2025-06-30,2023-01-18,Haspel ...,Unknown,2.2,10.0
427,Stevan Jovetic,Cтeвaн Joвeтић,33,1.83,Montenegro  Serbia,Titograd,2.0,30.0,Attack - Centre-Forward,19,Right,Hertha Bsc,2023-06-30,2021-07-27,Lian Sports Group,Unknown,2.0,30.0
428,Derry Scherhant,Derry Lionel Scherhant,20,1.85,Germany,Berlin,0.7,0.7,Attack - Centre-Forward,39,Right,Hertha Bsc,2025-06-30,2022-07-01,Sports Excellence ...,Unknown,0.7,0.7
429,Ibrahim Maza,,17,1.77,Germany  Algeria,Berlin,0.25,0.25,Attack - Centre-Forward,10,Right,Hertha Bsc U19,2026-06-30,2022-07-01,Agent Is Known - Player Under 18,Unknown,0.25,0.25
430,Jiri Pavlenka,Jiří Pavlenka,31,1.96,Czech Republic,Hlučín,3.0,12.0,Goalkeeper,1,Right,Werder Bremen,2025-06-30,2017-07-01,Sport Invest,Unknown,3.0,12.0
431,Michael Zetterer,,27,1.87,Germany,München,0.5,0.8,Goalkeeper,30,Both,Werder Bremen,,2015-01-27,Emg Mundial,Unknown,0.5,0.8
432,Mio Backhaus,,19,1.94,Germany,Mönchengladbach,0.3,0.3,Goalkeeper,1,Right,W. Bremen U19,,2021-07-01,Feel Soccer Gmbh,Unknown,0.3,0.3
433,Dudu,,24,1.96,Germany  Brazil,Duisburg,0.2,0.3,Goalkeeper,38,Right,Werder Bremen,2024-06-30,2020-07-01,Dc International ...,Puma,0.2,0.3
434,Louis Lord,,19,1.9,Germany,Vechta,0.15,0.15,Goalkeeper,1,Unknown,W. Bremen Ii,,2021-07-01,Caa Stellar,Unknown,0.15,0.15
435,Marco Friedl,,25,1.87,Austria,Kirchbichl,6.5,7.5,Defender - Centre-Back,32,Left,Werder Bremen,2026-06-30,2019-07-01,You First,Unknown,6.5,7.5
436,Amos Pieper,,25,1.92,Germany,Lüdinghausen,6.0,7.0,Defender - Centre-Back,5,Right,Werder Bremen,2026-06-30,2022-07-01,Sports360 Gmbh,Unknown,6.0,7.0
437,Niklas Stark,,28,1.9,Germany,Neustadt An Der Aisch,5.5,20.0,Defender - Centre-Back,4,Right,Werder Bremen,2026-06-30,2022-07-01,Sports360 Gmbh,Adidas,5.5,20.0
438,Milos Veljkovic,Милош Вељковић,27,1.88,Serbia  Switzerland,Basel,5.0,12.0,Defender - Centre-Back,13,Right,Werder Bremen,2025-06-30,2016-02-01,Lian Sports Group,Unknown,5.0,12.0
439,Fabio Chiarodia,Fabio Cristian Chiarodia,17,1.86,Italy  Germany,Oldenburg,1.0,1.0,Defender - Centre-Back,39,Left,Werder Bremen,2024-06-30,2021-10-07,Unknown,Unknown,1.0,1.0
440,Lee Buchanan,Lee David Buchanan,22,1.79,England,Mansfield,3.5,3.5,Defender - Left-Back,26,Left,Werder Bremen,2026-06-30,2022-07-04,Quantum Sport,Unknown,3.5,3.5
441,Anthony Jung,,31,1.86,Germany  Spain,Villajoyosa,1.5,1.5,Defender - Left-Back,3,Left,Werder Bremen,2024-06-30,2021-07-01,Caa Stellar,Unknown,1.5,1.5
442,Mitchell Weiser,Mitchell-Elijah Weiser,29,1.77,Germany  Algeria,Troisdorf,5.5,14.0,Defender - Right-Back,8,Right,Werder Bremen,2024-06-30,2022-07-15,Roof,Unknown,5.5,14.0
443,Felix Agu,,23,1.8,Germany  Nigeria,Osnabrück,1.0,2.5,Defender - Right-Back,27,Right,Werder Bremen,2024-06-30,2020-07-01,Tds Sports,Unknown,1.0,2.5
444,Ilia Gruev,Илия Илиев Груев,23,1.85,Bulgaria  Germany,Sofia,3.0,3.0,midfield - Defensive Midfield,28,Left,Werder Bremen,2025-06-30,2019-07-01,Feel Soccer Gmbh,Unknown,3.0,3.0
445,Christian Groß,,34,1.82,Germany,Bremen,0.5,0.5,midfield - Defensive Midfield,36,Both,Werder Bremen,2024-06-30,2020-08-01,Dlt Sports Group,Unknown,0.5,0.5
446,Dikeni Salifou,Dikeni-Rafid Salifou,19,1.91,Togo  Germany,München,0.2,0.2,midfield - Defensive Midfield,19,Right,Werder Bremen,,2022-07-01,Karl M. Herzog ...,Unknown,0.2,0.2
447,Jens Stage,Jens Dalsgaard Stage,26,1.87,Denmark,Højbjerg,3.5,4.0,midfield - Central Midfield,6,Right,Werder Bremen,2026-06-30,2022-07-01,Cma Group,Puma,3.5,4.0
448,Jean Manuel Mbom,,23,1.85,Germany  Cameroon,Göttingen,1.0,3.0,midfield - Central Midfield,34,Right,Werder Bremen,,2018-07-01,Roof,Adidas,1.0,3.0
449,Romano Schmid,,23,1.68,Austria,Graz,4.5,5.0,midfield - Attacking Midfield,20,Right,Werder Bremen,2025-06-30,2019-01-03,You First,Adidas,4.5,5.0
450,Leonardo Bittencourt,Leonardo Jesus Loureiro Bittencourt,29,1.71,Germany  Brazil,Leipzig,3.5,7.0,midfield - Attacking Midfield,10,Right,Werder Bremen,,2020-07-15,Feel Soccer Gmbh,Adidas,3.5,7.0
451,Niklas Schmidt,Niklas Uwe Schmidt,25,1.84,Germany,Kassel,2.5,2.5,midfield - Attacking Midfield,22,Both,Werder Bremen,2025-06-30,2017-07-01,Seg,Nike,2.5,2.5
452,Maximilian Philipp,Maximilian Marcus Philipp,29,1.83,Germany,Berlin,2.0,20.0,Attack - Second Striker,17,Right,Werder Bremen,2023-06-30,2023-01-30,Unique Sports Group,Unknown,2.0,20.0
453,Niclas Füllkrug,,30,1.89,Germany,Hannover,13.0,15.0,Attack - Centre-Forward,11,Right,Werder Bremen,2025-06-30,2019-07-01,Roof,Unknown,13.0,15.0
454,Marvin Ducksch,,29,1.88,Germany,Dortmund,6.5,6.5,Attack - Centre-Forward,7,Right,Werder Bremen,2024-06-30,2021-08-25,Emg Mundial,Unknown,6.5,6.5
455,Eren Dinkci,Eren Sami Dinkçi,21,1.88,Germany  Turkey,Bremen,0.7,0.7,Attack - Centre-Forward,21,Right,Werder Bremen,2025-06-30,2021-01-01,Emg Mundial,Unknown,0.7,0.7
456,Alexander Schwolow,,30,1.9,Germany,Wiesbaden,0.9,9.0,Goalkeeper,13,Right,Fc Schalke 04,2023-06-30,2022-07-01,Feel Soccer Gmbh,Unknown,0.9,9.0
457,Ralf Fährmann,Ralf Sebastian Fährmann,34,1.97,Germany,Karl-Marx-Stadt,0.4,13.0,Goalkeeper,1,Right,Fc Schalke 04,2025-06-30,2011-07-01,Siebert & Backs,Adidas,0.4,13.0
458,Justin Heekeren,,22,1.96,Germany,Veen,0.25,0.25,Goalkeeper,28,Both,Fc Schalke 04,2025-06-30,2022-07-01,Royal,Unknown,0.25,0.25
459,Michael Langer,,38,1.95,Austria,Bregenz,0.05,0.75,Goalkeeper,34,Right,Fc Schalke 04,2023-06-30,2017-08-04,Pesm,Unknown,0.05,0.75
460,Moritz Jenz,,24,1.9,Germany,Berlin,5.5,5.5,Defender - Centre-Back,25,Right,Fc Schalke 04,2023-06-30,2023-01-26,Sports360 Gmbh,Unknown,5.5,5.5
461,Sepp van den Berg,,21,1.92,Netherlands,Zwolle,5.0,5.0,Defender - Centre-Back,5,Right,Fc Schalke 04,2023-06-30,2022-08-30,Key United,Unknown,5.0,5.0
462,Leo Greiml,,21,1.87,Austria,Horn,1.5,2.5,Defender - Centre-Back,3,Right,Fc Schalke 04,2025-06-30,2022-07-01,You First,Unknown,1.5,2.5
463,Maya Yoshida,吉田 麻也,34,1.89,Japan,"Nagasaki, Nagasaki",1.5,7.0,Defender - Centre-Back,4,Right,Fc Schalke 04,2023-06-30,2022-07-05,Caa Base Ltd,Mizuno,1.5,7.0
464,Marcin Kaminski,Marcin Kamiński,31,1.92,Poland,Konin,1.0,3.5,Defender - Centre-Back,35,Left,Fc Schalke 04,2023-06-30,2021-07-01,Wojciech Zlobicki,Unknown,1.0,3.5
465,Henning Matriciani,,23,1.87,Germany,Lippstadt,1.0,1.0,Defender - Centre-Back,41,Right,Fc Schalke 04,2024-06-30,2021-09-28,Tpwe Gmbh,Adidas,1.0,1.0
466,Timothée Kolodziejczak,Timothée Christian Kolodziejczak,31,1.83,France  Poland,Avion,0.7,7.0,Defender - Centre-Back,15,Left,Fc Schalke 04,2023-06-30,2022-10-21,Unknown,Unknown,0.7,7.0
467,Ibrahima Cissé,,22,1.96,Mali  France,Dreux,0.2,0.2,Defender - Centre-Back,22,Right,Fc Schalke 04,2026-06-30,2022-07-01,Unknown,Unknown,0.2,0.2
468,Thomas Ouwejan,,26,1.83,Netherlands,Alkmaar,2.5,3.0,Defender - Left-Back,2,Left,Fc Schalke 04,2024-06-30,2022-07-01,Caa Stellar,Unknown,2.5,3.0
469,Jere Uronen,Jere Juhani Uronen,28,1.77,Finland,Turku,1.0,3.5,Defender - Left-Back,18,Left,Fc Schalke 04,2023-06-30,2023-01-07,Nga Sport,Unknown,1.0,3.5
470,Cédric Brunner,,29,1.8,Switzerland,Zollikon,2.5,3.2,Defender - Right-Back,27,Right,Fc Schalke 04,2024-06-30,2022-07-07,Roof,Nike,2.5,3.2
471,Mehmet Aydin,Mehmet Can Aydin,21,1.8,Turkey  Germany,Würselen,2.0,2.0,Defender - Right-Back,23,Right,Fc Schalke 04,2025-06-30,2021-07-01,Kin Partners,Unknown,2.0,2.0
472,Alex Kral,Alex Král,24,1.86,Czech Republic  Slovakia,Košice,5.5,10.0,midfield - Defensive Midfield,30,Right,Fc Schalke 04,2023-06-30,2022-07-14,K2K Sports ...,Nike,5.5,10.0
473,Éder Balanta,Éder Fabián Álvarez Balanta,30,1.8,Colombia,Bogotá,3.0,6.5,midfield - Defensive Midfield,33,Left,Fc Schalke 04,2023-06-30,2023-01-31,No Agent,Unknown,3.0,6.5
474,Niklas Tauer,,22,1.83,Germany,Mainz,1.5,1.5,midfield - Defensive Midfield,21,Right,Fc Schalke 04,2024-06-30,2023-01-01,Pro Profil Gmbh,Adidas,1.5,1.5
475,Tom Krauß,,21,1.82,Germany,Leipzig,6.0,6.0,midfield - Central Midfield,6,Right,Fc Schalke 04,2023-06-30,2022-07-01,Roof,Adidas,6.0,6.0
476,Danny Latza,,33,1.79,Germany,Gelsenkirchen,0.6,5.0,midfield - Central Midfield,8,Right,Fc Schalke 04,2024-06-30,2021-07-01,Feel Soccer Gmbh,Unknown,0.6,5.0
477,Soichiro Kozuki,上月 壮一郎,22,1.8,Japan,"Uji, Kyoto",0.6,0.6,midfield - Right Midfield,38,Right,Fc Schalke 04,2025-06-30,2023-01-01,Pro Profil Gmbh,Unknown,0.6,0.6
478,Tobias Mohr,,27,1.83,Germany,Aachen,1.8,1.8,midfield - Left Midfield,29,Left,Fc Schalke 04,2025-06-30,2022-07-01,Kl Sportsbase,Unknown,1.8,1.8
479,Rodrigo Zalazar,Rodrigo Zalazar Martínez,23,1.78,Uruguay  Spain,Albacete,3.5,3.5,midfield - Attacking Midfield,10,Right,Fc Schalke 04,2026-06-30,2022-07-01,Caa Stellar,Unknown,3.5,3.5
480,Dominick Drexler,,32,1.83,Germany,Bonn,0.9,4.0,midfield - Attacking Midfield,24,Right,Fc Schalke 04,2024-06-30,2021-07-21,11Wins,Unknown,0.9,4.0
481,Marius Bülter,,30,1.88,Germany,Ibbenbüren,2.5,3.0,Attack - Left Winger,11,Right,Fc Schalke 04,2024-06-30,2021-07-01,Tpwe Gmbh,Adidas,2.5,3.0
482,Tim Skarke,,26,1.81,Germany,Heidenheim An Der Brenz,1.0,1.0,Attack - Right Winger,20,Right,Fc Schalke 04,2023-06-30,2023-01-23,Unique Sports Group,Unknown,1.0,1.0
483,Michael Frey,,28,1.88,Switzerland,Münsingen,3.0,5.0,Attack - Centre-Forward,26,Right,Fc Schalke 04,2023-06-30,2023-01-20,Soccer Mondial Ag,Puma,3.0,5.0
484,Sebastian Polter,,32,1.92,Germany,Wilhelmshaven,1.7,2.25,Attack - Centre-Forward,40,Right,Fc Schalke 04,2025-06-30,2022-07-01,Pro Profil Gmbh,Unknown,1.7,2.25
485,Kenan Karaman,,29,1.89,Turkey  Germany,Stuttgart,1.4,3.5,Attack - Centre-Forward,19,Right,Fc Schalke 04,2025-06-30,2022-09-01,Emg Mundial,Adidas,1.4,3.5
486,Simon Terodde,,35,1.92,Germany,Bocholt,1.0,4.0,Attack - Centre-Forward,9,Right,Fc Schalke 04,2023-06-30,2021-07-01,Sports360 Gmbh,Puma,1.0,4.0
487,Manuel Riemann,Manuel Riemann-Lorenzen,34,1.86,Germany,Mühldorf Am Inn,1.2,1.2,Goalkeeper,1,Right,Vfl Bochum,2025-06-30,2015-07-01,Roof,Unknown,1.2,1.2
488,Marko Johansson,,24,1.94,Sweden  Serbia,Malmö,0.5,0.9,Goalkeeper,26,Right,Vfl Bochum,2023-06-30,2022-09-01,Bms Sportconsulting ...,Unknown,0.5,0.9
489,Michael Esser,,35,1.98,Germany,Castrop-Rauxel,0.4,2.0,Goalkeeper,21,Right,Vfl Bochum,2024-06-30,2021-07-01,Robert Schneider,Unknown,0.4,2.0
490,Paul Grave,,22,1.93,Germany,Borken,0.1,0.1,Goalkeeper,34,Right,Vfl Bochum,,2019-03-02,Fg Sports Gmbh,Unknown,0.1,0.1
491,Erhan Masovic,Ерхан Машовић,24,1.89,Serbia,Novi Pazar,5.0,5.0,Defender - Centre-Back,4,Both,Vfl Bochum,2025-06-30,2020-10-05,Relatives,Unknown,5.0,5.0
492,Ivan Ordets,Ордець Іван Миколайович,30,1.95,Ukraine,"Blyzhnye, Donetsk Oblast",3.5,5.0,Defender - Centre-Back,20,Right,Vfl Bochum,2023-06-30,2022-07-10,Murza Eduard,Unknown,3.5,5.0
493,Keven Schlotterbeck,,26,1.89,Germany,Weinstadt,3.0,7.5,Defender - Centre-Back,31,Left,Vfl Bochum,2023-06-30,2023-01-02,Robert Schneider,Unknown,3.0,7.5
494,Dominique Heintz,,29,1.88,Germany,Neustadt An Der Weinstraße,1.5,10.0,Defender - Centre-Back,30,Left,Vfl Bochum,2023-06-30,2022-08-11,Sports360 Gmbh,Unknown,1.5,10.0
495,Vasilios Lampropoulos,Βασίλειος Λαμπρόπουλος,33,1.85,Greece,Pyrgos,0.5,1.0,Defender - Centre-Back,24,Right,Vfl Bochum,2023-06-30,2020-08-14,Wos,Unknown,0.5,1.0
496,Mohammed Tolba,محمد طلبه,18,1.85,Germany  Egypt,Essen,0.2,0.2,Defender - Centre-Back,25,Right,Vfl Bochum,2025-06-30,2022-07-01,Wasserman,Unknown,0.2,0.2
497,Danilo Soares,Danilo Teodoro Soares,31,1.7,Brazil,Belo Horizonte,2.2,2.2,Defender - Left-Back,3,Left,Vfl Bochum,2024-06-30,2017-07-01,Tdl Sports ...,Unknown,2.2,2.2
498,Konstantinos Stafylidis,Κωνσταντίνος Σταφυλίδης,29,1.78,Greece,Thessaloniki,1.8,4.5,Defender - Left-Back,16,Left,Vfl Bochum,2023-06-30,2022-07-06,Rogon,Unknown,1.8,4.5
499,Jordi Osei-Tutu,Jordi Martin Emmanuel Osei-Tutu,24,1.76,England  Ghana,Slough,1.5,1.5,Defender - Right-Back,18,Right,Vfl Bochum,2025-06-30,2022-07-01,Unique Sports Group,Unknown,1.5,1.5
500,Saidy Janko,,27,1.81,The Gambia  Switzerland,Zürich,1.0,3.0,Defender - Right-Back,23,Right,Vfl Bochum,2023-06-30,2022-07-01,Signature - Iscm Ag,Unknown,1.0,3.0
501,Cristian Gamboa,Cristian Esteban Gamboa Luna,33,1.75,Costa Rica,Liberia,0.7,2.0,Defender - Right-Back,2,Right,Vfl Bochum,2024-06-30,2019-08-27,Wasserman,Unknown,0.7,2.0
502,Jacek Goralski,Jacek Góralski,30,1.72,Poland,Bydgoszcz,1.0,3.0,midfield - Defensive Midfield,5,Right,Vfl Bochum,2024-06-30,2022-07-01,Unidos,Unknown,1.0,3.0
503,Anthony Losilla,,37,1.85,France,Firminy,0.5,0.9,midfield - Defensive Midfield,8,Right,Vfl Bochum,2024-06-30,2014-07-01,Soccertalk Gmbh,Unknown,0.5,0.9
504,Patrick Osterhage,,23,1.86,Germany,Göttingen,2.0,2.0,midfield - Central Midfield,6,Left,Vfl Bochum,2026-06-30,2021-07-01,H.S.P. ...,Nike,2.0,2.0
505,Pierre Kunde,Pierre Kunde Malong,27,1.8,Cameroon,Limbé,2.0,10.0,midfield - Central Midfield,28,Right,Vfl Bochum,2023-06-30,2023-01-06,Is Sports Agency ...,Unknown,2.0,10.0
506,Kevin Stöger,,29,1.75,Austria,Steyr,2.5,6.0,midfield - Attacking Midfield,7,Left,Vfl Bochum,2024-06-30,2022-07-01,Relatives,Unknown,2.5,6.0
507,Philipp Förster,,28,1.88,Germany,Bretten,2.5,3.5,midfield - Attacking Midfield,10,Left,Vfl Bochum,2024-06-30,2022-07-01,Roof,Unknown,2.5,3.5
508,Gerrit Holtmann,,28,1.85,Philippines  Germany,Bremen,3.5,4.5,Attack - Left Winger,17,Left,Vfl Bochum,2025-06-30,2020-08-24,Relatives,Unknown,3.5,4.5
509,Christopher Antwi-Adjei,,29,1.74,Ghana  Germany,Hagen,1.8,2.0,Attack - Left Winger,22,Right,Vfl Bochum,2024-06-30,2021-07-01,Kay Sports ...,Unknown,1.8,2.0
510,Takuma Asano,浅野 拓磨,28,1.73,Japan,"Komono, Mie",4.0,4.0,Attack - Right Winger,11,Right,Vfl Bochum,2024-06-30,2021-07-01,Jeb Entertainment ...,Adidas,4.0,4.0
511,Philipp Hofmann,,30,1.95,Germany,Arnsberg,2.5,2.5,Attack - Centre-Forward,33,Left,Vfl Bochum,2024-06-30,2022-07-01,Roof,Unknown,2.5,2.5
512,Simon Zoller,Simon Martin Zoller,31,1.79,Germany,Friedrichshafen,1.1,3.0,Attack - Centre-Forward,9,Right,Vfl Bochum,2024-06-30,2019-01-01,Goalsky,Puma,1.1,3.0
513,Silvère Ganvoula,Silvère Ganvoula M'boussy,26,1.91,Congo,Brazzaville,0.75,2.5,Attack - Centre-Forward,35,Right,Vfl Bochum,2023-06-30,2019-07-05,By Sport Consulting,Puma,0.75,2.5
514,Moritz Broschinski,,22,1.9,Germany,Finsterwalde,0.5,0.5,Attack - Centre-Forward,29,Right,Vfl Bochum,2026-06-30,2023-01-22,Teamgeist ...,Unknown,0.5,0.5
