Unnamed: 0,name,full_name,age,height,nationality,place_of_birth,max_price,position,shirt_nr,foot,club,contract_expires,joined_club,player_agent,outfitter,price_eur,max_price_eur
204,Kimberly Ezekwem,Kimberly Chiwetalu Akwaeze Ezekwem,21,1.87,Germany  Nigeria,München,0.35,Defender - Left-Back,24,Left,Sc Freiburg,,2021-07-01,Cn Sports,Unknown,0.35,0.35
164,Alassane Plea,Alassane Alexandre Plea,30,1.81,France  Mali,Lille,38.0,Attack - Left Winger,14,Right,Bor. M'Gladbach,2025-06-30,2018-07-13,Smi Sports ...,Unknown,10.0,38.0
43,Felix Passlack,,24,1.7,Germany,Bottrop,3.0,Defender - Right-Back,30,Right,Bor. Dortmund,2023-06-30,2016-01-04,Teamgeist ...,Nike,1.5,3.0
220,Lucas Höler,,28,1.84,Germany,Achim,6.5,Attack - Centre-Forward,9,Right,Sc Freiburg,,2018-01-01,Unique Sports Group,Unknown,5.0,6.5
406,Agustín Rogel,Agustín Maximiliano Rogel Paita,25,1.91,Uruguay  Italy,Montevideo,4.5,Defender - Centre-Back,3,Right,Hertha Bsc,2026-06-30,2022-08-31,Ariel Krasouski,Unknown,3.0,4.5
193,Jonas Wind,Jonas Older Wind,24,1.9,Denmark,Hvidovre,14.0,Attack - Centre-Forward,23,Right,Vfl Wolfsburg,2026-06-30,2022-01-31,People In Sport,Unknown,14.0,14.0
313,Fabian Bredlow,,28,1.9,Germany,Berlin,1.5,Goalkeeper,33,Both,Vfb Stuttgart,2024-06-30,2019-07-01,Seg,Unknown,1.5,1.5
262,Niko Gießelmann,,31,1.82,Germany,Hannover,4.0,Defender - Left-Back,23,Left,Union Berlin,2023-06-30,2020-07-15,Smg Gmbh,Unknown,2.0,4.0
106,Florian Wirtz,Florian Richard Wirtz,20,1.76,Germany,Pulheim,85.0,midfield - Attacking Midfield,27,Right,B. Leverkusen,2027-06-30,2020-07-01,Relatives,Adidas,85.0,85.0
53,Karim Adeyemi,Karim-David Adeyemi,21,1.8,Germany  Nigeria,München,35.0,Attack - Left Winger,27,Left,Bor. Dortmund,2027-06-30,2022-07-01,Kick&Run,Nike,35.0,35.0
394,Mark Uth,Mark-Alexander Uth,31,1.85,Germany,Köln,23.0,Attack - Centre-Forward,13,Left,1.Fc Köln,2025-06-30,2021-07-01,Sports360 Gmbh,Unknown,3.0,23.0
1,Yann Sommer,,34,1.83,Switzerland,Morges,13.0,Goalkeeper,27,Right,Bayern Munich,2025-06-30,2023-01-19,Relatives,Puma,5.0,13.0
455,Eren Dinkci,Eren Sami Dinkçi,21,1.88,Germany  Turkey,Bremen,0.7,Attack - Centre-Forward,21,Right,Werder Bremen,2025-06-30,2021-01-01,Emg Mundial,Unknown,0.7,0.7
497,Danilo Soares,Danilo Teodoro Soares,31,1.7,Brazil,Belo Horizonte,2.2,Defender - Left-Back,3,Left,Vfl Bochum,2024-06-30,2017-07-01,Tdl Sports ...,Unknown,2.2,2.2
49,Julian Brandt,,27,1.85,Germany,Bremen,50.0,midfield - Attacking Midfield,19,Right,Bor. Dortmund,2026-06-30,2019-07-01,Relatives,Nike,40.0,50.0
424,Jessic Ngankam,Jessic Gaïtan Ngankam,22,1.84,Germany  Cameroon,Berlin,3.5,Attack - Centre-Forward,24,Right,Hertha Bsc,2025-06-30,2022-07-02,Sports360 Gmbh,Unknown,3.5,3.5
81,Emil Forsberg,Emil Peter Forsberg,31,1.77,Sweden,Sundsvall,28.0,midfield - Attacking Midfield,10,Right,Rb Leipzig,2025-06-30,2015-01-07,Hcm Sports ...,Unknown,9.0,28.0
208,Yannik Keitel,,23,1.86,Germany,Breisach Am Rhein,4.0,midfield - Defensive Midfield,14,Both,Sc Freiburg,2024-06-30,2020-04-16,Unique Sports Group,Unknown,4.0,4.0
34,Soumaïla Coulibaly,,19,1.9,France  Mali,Montfermeil,1.0,Defender - Centre-Back,44,Left,Bor. Dortmund,2026-06-30,2021-07-01,Epic Sports,Puma,1.0,1.0
435,Marco Friedl,,25,1.87,Austria,Kirchbichl,7.5,Defender - Centre-Back,32,Left,Werder Bremen,2026-06-30,2019-07-01,You First,Unknown,6.5,7.5
266,Morten Thorsby,,27,1.88,Norway,Oslo,7.0,midfield - Central Midfield,2,Right,Union Berlin,2025-06-30,2022-07-19,Pando,Adidas,7.0,7.0
432,Mio Backhaus,,19,1.94,Germany,Mönchengladbach,0.3,Goalkeeper,1,Right,W. Bremen U19,,2021-07-01,Feel Soccer Gmbh,Unknown,0.3,0.3
370,Julian Roloff,,22,1.92,Germany,Grevenbroich,0.1,Goalkeeper,1,Right,1.Fc Köln Ii,2024-06-30,2023-01-15,Dc International ...,Stanno,0.1,0.1
92,Piero Hincapié,Piero Martín Hincapié Reyna,21,1.83,Ecuador,Esmeraldas,25.0,Defender - Centre-Back,3,Left,B. Leverkusen,2027-06-30,2021-08-16,Fútbol División,Adidas,25.0,25.0
343,Lasse Rieß,Lasse Finn Rieß,21,1.91,Germany,Nieder-Olm,0.2,Goalkeeper,32,Right,1.Fsv Mainz 05,2025-06-30,2021-07-01,Roof Talents,Unknown,0.2,0.2
488,Marko Johansson,,24,1.94,Sweden  Serbia,Malmö,0.9,Goalkeeper,26,Right,Vfl Bochum,2023-06-30,2022-09-01,Bms Sportconsulting ...,Unknown,0.5,0.9
52,Göktan Gürpüz,,20,1.76,Turkey  Germany,Duisburg,0.3,midfield - Attacking Midfield,42,Right,B. Dortmund Ii,2025-06-30,2022-07-01,Sbe Management Ag,Unknown,0.3,0.3
349,Anthony Caci,,25,1.84,France,Forbach,8.5,Defender - Left-Back,19,Right,1.Fsv Mainz 05,2026-06-30,2022-07-01,W.Egal O.S.F.M.,Unknown,8.5,8.5
267,Janik Haberer,,29,1.86,Germany,Wangen Im Allgäu,10.0,midfield - Central Midfield,19,Right,Union Berlin,2025-06-30,2022-07-01,Unique Sports Group,Puma,7.0,10.0
244,Christoph Baumgartner,,23,1.8,Austria,Horn,22.0,midfield - Attacking Midfield,14,Right,Tsg Hoffenheim,2025-06-30,2019-01-15,You First,Unknown,20.0,22.0
13,Bouna Sarr,,31,1.77,Senegal  France,Lyon,9.0,Defender - Right-Back,20,Right,Bayern Munich,2024-06-30,2020-10-05,Wasserman,Unknown,2.5,9.0
319,Antonis Aidonis,,21,1.86,Germany  Greece,Neustadt An Der Weinstraße,0.5,Defender - Centre-Back,37,Right,Vfb Stuttgart,2023-06-30,2020-07-24,Mk Sport Consulting,Nike,0.35,0.5
89,Andrey Lunev,Лунёв Андрей Евгеньевич,31,1.9,Russia,Moskau,10.5,Goalkeeper,40,Right,B. Leverkusen,2023-06-30,2021-07-10,Unknown,Nike,1.5,10.5
392,Dimitrios Limnios,Δημήτριος Λημνιός,24,1.78,Greece  Brazil,Volos,4.5,Attack - Right Winger,19,Right,1.Fc Köln,2024-06-30,2020-09-21,Lian Sports Group,Unknown,2.0,4.5
276,Jamie Leweling,,22,1.84,Germany  Ghana,Nürnberg,4.5,Attack - Second Striker,40,Both,Union Berlin,2026-06-30,2022-07-01,Sports Excellence ...,Puma,3.5,4.5
169,Patrick Herrmann,,32,1.79,Germany,Uchtelfangen,12.0,Attack - Right Winger,7,Right,Bor. M'Gladbach,2024-06-30,2010-01-01,Pro Profil Gmbh,Puma,2.0,12.0
332,Chris Führich,,25,1.81,Germany,Castrop-Rauxel,4.0,Attack - Right Winger,22,Right,Vfb Stuttgart,2025-06-30,2021-07-19,Kl Sportsbase,Unknown,4.0,4.0
507,Philipp Förster,,28,1.88,Germany,Bretten,3.5,midfield - Attacking Midfield,10,Left,Vfl Bochum,2024-06-30,2022-07-01,Roof,Unknown,2.5,3.5
135,Jesper Lindström,Jesper Grænge Lindstrøm,23,1.82,Denmark,Taastrup,28.0,midfield - Attacking Midfield,29,Right,E. Frankfurt,2026-06-30,2021-07-11,Nsg Aps,Adidas,28.0,28.0
310,Kelvin Yeboah,Kelvin Kwarteng Yeboah,23,1.85,Italy  Ghana,Accra,5.5,Attack - Centre-Forward,45,Right,Fc Augsburg,2023-06-30,2023-01-18,P&P Sport ...,Unknown,3.5,5.5
495,Vasilios Lampropoulos,Βασίλειος Λαμπρόπουλος,33,1.85,Greece,Pyrgos,1.0,Defender - Centre-Back,24,Right,Vfl Bochum,2023-06-30,2020-08-14,Wos,Unknown,0.5,1.0
323,Wataru Endo,遠藤 航,30,1.78,Japan,"Yokohama, Kanagawa",10.0,midfield - Defensive Midfield,3,Right,Vfb Stuttgart,2024-06-30,2020-07-01,Universal Sports ...,Puma,6.5,10.0
246,Muhammed Damar,Muhammed Mehmet Damar,19,1.85,Germany  Turkey,Berlin,1.0,midfield - Attacking Midfield,35,Both,Tsg Hoffenheim,2026-06-30,2022-07-01,Emg Mundial,Unknown,1.0,1.0
54,Jamie Bynoe-Gittens,Jamie Jermaine Bynoe-Gittens,18,1.77,England  Barbados,London,14.0,Attack - Left Winger,43,Right,Bor. Dortmund,2025-06-30,2022-07-01,Elite Project Group ...,Unknown,14.0,14.0
367,Marlon Mustapha,Suliman-Marlon Mustapha,21,1.85,Austria,Wien,1.0,Attack - Centre-Forward,36,Right,1.Fsv Mainz 05,2024-06-30,2020-07-01,Md Sports,Puma,1.0,1.0
50,Giovanni Reyna,Giovanni Alejandro Reyna,20,1.85,United States  Portugal,Durham,42.0,midfield - Attacking Midfield,7,Right,Bor. Dortmund,2025-06-30,2020-01-12,Wasserman,Adidas,28.0,42.0
470,Cédric Brunner,,29,1.8,Switzerland,Zollikon,3.2,Defender - Right-Back,27,Right,Fc Schalke 04,2024-06-30,2022-07-07,Roof,Nike,2.5,3.2
177,Sebastiaan Bornauw,,24,1.91,Belgium,Wemmel,14.0,Defender - Centre-Back,3,Right,Vfl Wolfsburg,2026-06-30,2021-07-16,Caa Stellar,Adidas,8.5,14.0
450,Leonardo Bittencourt,Leonardo Jesus Loureiro Bittencourt,29,1.71,Germany  Brazil,Leipzig,7.0,midfield - Attacking Midfield,10,Right,Werder Bremen,,2020-07-15,Feel Soccer Gmbh,Adidas,3.5,7.0
192,Lukas Nmecha,Lukas Okechukwu Nmecha,24,1.85,Germany  England,Hamburg,18.0,Attack - Centre-Forward,10,Right,Vfl Wolfsburg,2025-06-30,2021-07-16,Unknown,Unknown,14.0,18.0
511,Philipp Hofmann,,30,1.95,Germany,Arnsberg,2.5,Attack - Centre-Forward,33,Left,Vfl Bochum,2024-06-30,2022-07-01,Roof,Unknown,2.5,2.5
468,Thomas Ouwejan,,26,1.83,Netherlands,Alkmaar,3.0,Defender - Left-Back,2,Left,Fc Schalke 04,2024-06-30,2022-07-01,Caa Stellar,Unknown,2.5,3.0
190,Patrick Wimmer,,21,1.82,Austria,Tulln,12.0,Attack - Right Winger,39,Unknown,Vfl Wolfsburg,2027-06-30,2022-07-01,More Than Sport Gmbh,Puma,12.0,12.0
172,Pavao Pervan,,35,1.94,Austria,Livno,0.8,Goalkeeper,12,Both,Vfl Wolfsburg,2024-06-30,2018-07-01,Roof,Unknown,0.4,0.8
58,Youssoufa Moukoko,,18,1.79,Germany  Cameroon,Yaoundé,30.0,Attack - Centre-Forward,18,Left,Bor. Dortmund,2026-06-30,2020-07-29,Wasserman,Nike,30.0,30.0
48,Mahmoud Dahoud,,27,1.78,Germany  Syria,Amûdê‎,18.0,midfield - Central Midfield,8,Right,Bor. Dortmund,2023-06-30,2017-07-01,Lorimanagement,Puma,12.0,18.0
348,Philipp Schulz,,17,1.88,Germany,Unknown,0.3,Defender - Centre-Back,45,Right,1.Fsv Mainz 05,2025-06-30,2022-07-01,Agent Is Known - Player Under 18,Unknown,0.3,0.3
238,Dennis Geiger,,24,1.73,Germany,Mosbach,13.0,midfield - Central Midfield,8,Right,Tsg Hoffenheim,2027-06-30,2016-07-01,Winstar Management,Unknown,9.0,13.0
255,Jakob Busk,Jakob Busk Jensen,29,1.89,Denmark,Kopenhagen,0.8,Goalkeeper,12,Right,Union Berlin,2024-06-30,2016-01-15,Relatives,Unknown,0.25,0.8
21,Sadio Mané,,31,1.74,Senegal,Bambaly,150.0,Attack - Left Winger,17,Right,Bayern Munich,2025-06-30,2022-07-01,Roof,New Balance,45.0,150.0
317,Waldemar Anton,Рипцов-Антон Владимир Александрович,26,1.89,Germany,Almalyk,15.0,Defender - Centre-Back,2,Right,Vfb Stuttgart,2025-06-30,2020-07-28,Aka Global Gmbh,Puma,4.5,15.0
464,Marcin Kaminski,Marcin Kamiński,31,1.92,Poland,Konin,3.5,Defender - Centre-Back,35,Left,Fc Schalke 04,2023-06-30,2021-07-01,Wojciech Zlobicki,Unknown,1.0,3.5
163,Conor Noß,,22,1.81,Ireland  Germany,Düsseldorf,0.7,midfield - Attacking Midfield,34,Both,Bor. M'Gladbach,2024-06-30,2021-07-01,B360 Sports,Adidas,0.7,0.7
279,Sven Michel,,32,1.77,Germany,Freudenberg,1.25,Attack - Centre-Forward,11,Left,Union Berlin,2024-06-30,2022-01-31,Karl M. Herzog ...,Unknown,1.2,1.25
448,Jean Manuel Mbom,,23,1.85,Germany  Cameroon,Göttingen,3.0,midfield - Central Midfield,34,Right,Werder Bremen,,2018-07-01,Roof,Adidas,1.0,3.0
194,Omar Marmoush,عمر مرموش | Omar Khaled Mohamed Marmoush,24,1.83,Egypt  Canada,Kairo,6.0,Attack - Centre-Forward,33,Right,Vfl Wolfsburg,2023-06-30,2020-07-01,Caa Stellar,Unknown,6.0,6.0
390,Jan Thielmann,Jan Uwe Thielmann,20,1.78,Germany,Föhren,9.0,Attack - Right Winger,29,Right,1.Fc Köln,2024-06-30,2020-01-17,Relatives,Unknown,7.5,9.0
296,Julian Baumgartlinger,,35,1.84,Austria,Salzburg,6.0,midfield - Defensive Midfield,14,Right,Fc Augsburg,2023-06-30,2022-08-16,Pro Profil Gmbh,Unknown,0.6,6.0
418,Jean-Paul Boëtius,Jean-Paul Patrick Boëtius,29,1.78,Netherlands  Suriname,Rotterdam,6.0,midfield - Attacking Midfield,10,Right,Hertha Bsc,2025-06-30,2022-08-08,Caa Stellar,Unknown,2.0,6.0
347,Alexander Hack,,29,1.93,Germany,Memmingen,3.0,Defender - Centre-Back,42,Left,1.Fsv Mainz 05,2024-06-30,2015-11-30,Pro Profil Gmbh,Unknown,2.5,3.0
260,Timo Baumgartl,,27,1.9,Germany,Böblingen,15.0,Defender - Centre-Back,25,Right,Union Berlin,2023-06-30,2021-07-01,Cn Sports,Adidas,3.5,15.0
312,Florian Müller,,25,1.9,Germany,Saarlouis,10.0,Goalkeeper,1,Left,Vfb Stuttgart,2025-06-30,2021-07-01,Pro Profil Gmbh,Unknown,1.5,10.0
151,Mamadou Doucouré,,24,1.83,France  Senegal,Dakar,0.5,Defender - Centre-Back,4,Left,Bor. M'Gladbach,2024-06-30,2016-07-01,Sport Avenir ...,Unknown,0.1,0.5
131,Marcel Wenig,,19,1.88,Germany  Greece,Nürnberg,0.8,midfield - Central Midfield,28,Right,E. Frankfurt,2025-06-30,2022-07-01,Skylar,Adidas,0.8,0.8
153,Luca Netz,,19,1.84,Germany,Berlin,6.5,Defender - Left-Back,20,Left,Bor. M'Gladbach,2026-06-30,2021-08-06,11Wins,Unknown,6.5,6.5
363,Ludovic Ajorque,,29,1.96,France  Réunion,Saint-Denis,16.0,Attack - Centre-Forward,17,Left,1.Fsv Mainz 05,2026-06-30,2023-01-24,Léandre Chouya,Unknown,9.0,16.0
100,Noah Mbamba,Noah Mbamba-Muanda,18,1.87,Belgium,Elsene,5.0,midfield - Defensive Midfield,18,Right,B. Leverkusen,2028-06-30,2023-01-14,Unknown,Unknown,3.0,5.0
376,Rijad Smajic,,19,1.9,Bosnia-Herzegovina  Germany,Köln,0.2,Defender - Centre-Back,19,Unknown,1.Fc Köln Ii,2025-06-30,2022-01-01,Olp Sports,Unknown,0.2,0.2
88,Patrick Pentz,,26,1.82,Austria,Salzburg,2.5,Goalkeeper,28,Left,B. Leverkusen,2025-06-30,2023-01-27,World In Motion,Uhlsport,1.5,2.5
463,Maya Yoshida,吉田 麻也,34,1.89,Japan,"Nagasaki, Nagasaki",7.0,Defender - Centre-Back,4,Right,Fc Schalke 04,2023-06-30,2022-07-05,Caa Base Ltd,Mizuno,1.5,7.0
334,Gil Dias,Gil Bastião Dias,26,1.86,Portugal,Gafanha Da Nazaré,4.0,Attack - Right Winger,31,Left,Vfb Stuttgart,2025-06-30,2023-01-30,Ulisses Santos - ...,Nike,2.0,4.0
217,Roland Sallai,,25,1.83,Hungary,Budapest,16.0,Attack - Right Winger,22,Both,Sc Freiburg,2025-06-30,2018-08-31,World Soccer Agency,Nike,10.0,16.0
471,Mehmet Aydin,Mehmet Can Aydin,21,1.8,Turkey  Germany,Würselen,2.0,Defender - Right-Back,23,Right,Fc Schalke 04,2025-06-30,2021-07-01,Kin Partners,Unknown,2.0,2.0
122,Makoto Hasebe,長谷部 誠,39,1.8,Japan,"Fujieda, Shizuoka",5.0,Defender - Centre-Back,20,Right,E. Frankfurt,2024-06-30,2014-07-01,Pro Profil Gmbh,Puma,0.8,5.0
514,Moritz Broschinski,,22,1.9,Germany,Finsterwalde,0.5,Attack - Centre-Forward,29,Right,Vfl Bochum,2026-06-30,2023-01-22,Teamgeist ...,Unknown,0.5,0.5
20,Kingsley Coman,Kingsley Junior Coman,26,1.81,France  Guadeloupe,Paris,65.0,Attack - Left Winger,11,Right,Bayern Munich,2027-06-30,2017-07-01,Caa Base Ltd,Nike,65.0,65.0
191,Luca Waldschmidt,Gian-Luca Waldschmidt,26,1.81,Germany,Siegen,20.0,Attack - Second Striker,7,Left,Vfl Wolfsburg,2025-06-30,2021-08-22,Sports360 Gmbh,Unknown,3.0,20.0
72,Sanoussy Ba,,19,1.84,Germany  Senegal,Hof,0.5,Defender - Left-Back,25,Both,Rb Leipzig,2025-06-30,2022-07-01,Sports360 Gmbh,Unknown,0.5,0.5
107,Callum Hudson-Odoi,Callum James Hudson-Odoi,22,1.77,England  Ghana,London,35.0,Attack - Left Winger,17,Right,B. Leverkusen,2023-06-30,2022-08-30,Relatives,Adidas,17.0,35.0
273,Milos Pantovic,Милош Пантовић,26,1.86,Serbia  Germany,München,2.2,midfield - Attacking Midfield,32,Right,Union Berlin,,2022-07-01,Roof,Puma,1.8,2.2
352,Danny da Costa,Danny Vieira da Costa,29,1.87,Germany  Angola,Neuss,15.0,Defender - Right-Back,21,Right,1.Fsv Mainz 05,2025-06-30,2022-07-01,Sports360 Gmbh,Nike,2.0,15.0
440,Lee Buchanan,Lee David Buchanan,22,1.79,England,Mansfield,3.5,Defender - Left-Back,26,Left,Werder Bremen,2026-06-30,2022-07-04,Quantum Sport,Unknown,3.5,3.5
103,Exequiel Palacios,Exequiel Alejandro Palacios,24,1.77,Argentina,Famaillá,25.0,midfield - Central Midfield,25,Right,B. Leverkusen,2025-06-30,2020-01-01,Eleven Talent Group,Unknown,15.0,25.0
